DATE,UNRATE,CPI,RGDPPC,MORTGAGE30US,BAA,M2S,T10Y3M,NASDAQ
1/1/1986,7.0333333333333333,109.5666666666666667,36476,10.5838461538461538,11.0268852459016393,2516.0333333333333333,1.4480000000000000,347.8529508196721311
4/1/1986,7.1666666666666667,109.0333333333333333,36563,10.2461538461538462,10.2706250000000000,2582.5333333333333333,1.2770312500000000,389.7600000000000000
7/1/1986,6.9666666666666667,109.7000000000000000,36822,10.2353846153846154,10.1825000000000000,2646.9666666666666667,1.6214062500000000,373.4625000000000000
10/1/1986,6.8333333333333333,110.4666666666666667,36931,9.6838461538461538,10.0954687500000000,2705.5666666666666667,1.7619354838709677,355.8987500000000000
1/1/1987,6.6000000000000000,111.8000000000000000,37132,9.1146153846153846,9.6619354838709677,2748.3666666666666667,1.4957377049180328,409.6743548387096774
4/1/1987,6.2666666666666667,113.0666666666666667,37454,10.3430769230769231,10.3596825396825397,2771.7333333333333333,2.5036507936507937,421.1458730158730159
7/1/1987,6.0000000000000000,114.2666666666666667,37685,10.4815384615384615,10.9006250000000000,2788.9000000000000000,2.6307812500000000,439.8906250000000000
10/1/1987,5.8333333333333333,115.3333333333333333,38238,10.8642857142857143,11.3823437500000000,2820.0333333333333333,3.0582258064516129,340.0950000000000000
1/1/1988,5.7000000000000000,116.2333333333333333,38359,10.0683333333333333,10.7452380952380952,2869.5000000000000000,2.5085483870967742,357.0576190476190476
4/1/1988,5.4666666666666667,117.5666666666666667,38782,10.3592307692307692,10.9828571428571429,2925.0333333333333333,2.5031746031746032,378.5049206349206349
7/1/1988,5.4666666666666667,119.0000000000000000,38908,10.4964285714285714,11.0787500000000000,2952.0333333333333333,1.8553125000000000,384.1292187500000000
10/1/1988,5.3333333333333333,120.3000000000000000,39328,10.4100000000000000,10.5100000000000000,2977.9000000000000000,0.95983606557377049180,377.8942857142857143
1/1/1989,5.2000000000000000,121.6666666666666667,39648,10.8200000000000000,10.6451612903225806,2994.5333333333333333,0.35590163934426229508,399.0517741935483871
4/1/1989,5.2333333333333333,123.6333333333333333,39861,10.6361538461538462,10.3623437500000000,3015.1666666666666667,0.05484375000000000000,434.0823437500000000
7/1/1989,5.2333333333333333,124.6000000000000000,40046,10.0076923076923077,9.8866666666666667,3073.1000000000000000,-0.005873016,459.3895238095238095
10/1/1989,5.3666666666666667,125.8666666666666667,40015,9.8138461538461538,9.8134920634920635,3133.3000000000000000,-0.000967742,458.1255555555555556
1/1/1990,5.3000000000000000,128.0333333333333333,40361,10.1315384615384615,10.0955555555555556,3178.7000000000000000,0.39741935483870967742,433.7406349206349206
4/1/1990,5.3333333333333333,129.3000000000000000,40382,10.3238461538461538,10.3128571428571429,3205.3000000000000000,0.66333333333333333333,444.8484126984126984
7/1/1990,5.7000000000000000,131.5333333333333333,40266,10.1030769230769231,10.4074603174603175,3240.3666666666666667,0.97587301587301587302,407.7855555555555556
10/1/1990,6.1333333333333333,133.7666666666666667,39759,9.9592307692307692,10.6056250000000000,3264.5666666666666667,1.1866129032258065,351.2521875000000000
1/1/1991,6.6000000000000000,134.7666666666666667,39451,9.5007692307692308,10.2136065573770492,3304.7000000000000000,1.8115000000000000,427.5075409836065574
4/1/1991,6.8333333333333333,135.5666666666666667,39632,9.5223076923076923,9.9214062500000000,3342.4333333333333333,2.3892187500000000,492.6103125000000000
7/1/1991,6.8666666666666667,136.6000000000000000,39691,9.2730769230769231,9.6901562500000000,3355.3333333333333333,2.4040625000000000,507.3253125000000000
10/1/1991,7.1000000000000000,137.7333333333333333,39694,8.6900000000000000,9.4021875000000000,3365.9333333333333333,2.6653225806451613,536.2975000000000000
1/1/1992,7.3666666666666667,138.6666666666666667,40051,8.6884615384615385,9.2000000000000000,3395.0333333333333333,3.3048387096774194,622.0039682539682540
4/1/1992,7.6000000000000000,139.7333333333333333,40350,8.6776923076923077,9.1276190476190476,3397.2333333333333333,3.6079365079365079,576.7388888888888889
7/1/1992,7.6333333333333333,140.8000000000000000,40599,8.0176923076923077,8.7042187500000000,3401.0000000000000000,3.4676562500000000,572.7345312500000000
10/1/1992,7.3666666666666667,142.0333333333333333,40881,8.1921428571428571,8.8673437500000000,3425.0000000000000000,3.5966129032258065,625.5578125000000000
1/1/1993,7.1333333333333333,143.0666666666666667,40829,7.7233333333333333,8.3896774193548387,3415.1000000000000000,3.2329508196721311,685.7841935483870968
4/1/1993,7.0666666666666667,144.1000000000000000,40942,7.4530769230769231,8.1390476190476190,3430.2000000000000000,2.9528571428571429,682.5295238095238095
7/1/1993,6.8000000000000000,144.7666666666666667,40997,7.0876923076923077,7.6229687500000000,3446.6333333333333333,2.5450000000000000,724.8340625000000000
10/1/1993,6.6333333333333333,145.9666666666666667,41423,7.0464285714285714,7.5546875000000000,3467.1000000000000000,2.4830645161290323,766.0473437500000000
1/1/1994,6.5666666666666667,146.7000000000000000,41713,7.2958333333333333,7.8590476190476190,3476.9000000000000000,2.7554838709677419,787.1079365079365079
4/1/1994,6.2000000000000000,147.5333333333333333,42154,8.4276923076923077,8.6012903225806452,3483.8666666666666667,2.9777419354838710,727.5366129032258065
7/1/1994,6.0000000000000000,148.9000000000000000,42264,8.5942857142857143,8.8378125000000000,3486.6666666666666667,2.7189062500000000,739.1634375000000000
10/1/1994,5.6333333333333333,149.7666666666666667,42618,9.1053846153846154,9.2077777777777778,3485.9666666666666667,2.3932786885245902,752.6226984126984127
1/1/1995,5.4666666666666667,150.8666666666666667,42654,8.7853846153846154,8.8723809523809524,3491.1333333333333333,1.5548387096774194,783.8669841269841270
4/1/1995,5.6666666666666667,152.1000000000000000,42660,7.9176923076923077,8.2168253968253968,3524.1000000000000000,0.82825396825396825397,865.5382539682539683
7/1/1995,5.6666666666666667,152.8666666666666667,42885,7.6961538461538462,8.0619047619047619,3586.1666666666666667,0.79666666666666666667,1013.1388888888888889
10/1/1995,5.5666666666666667,153.7000000000000000,43044,7.3392307692307692,7.6463492063492063,3620.9333333333333333,0.47774193548387096774,1038.2077777777777778
1/1/1996,5.5333333333333333,155.0666666666666667,43259,7.2723076923076923,7.7069841269841270,3665.5333333333333333,0.83790322580645161290,1069.4400000000000000
4/1/1996,5.5000000000000000,156.4000000000000000,43856,8.1023076923076923,8.2946875000000000,3709.9333333333333333,1.5587500000000000,1187.3268253968253968
7/1/1996,5.2666666666666667,157.3000000000000000,44105,8.1469230769230769,8.2895312500000000,3744.8333333333333333,1.5342187500000000,1140.7145312500000000
10/1/1996,5.3333333333333333,158.6666666666666667,44421,7.7030769230769231,7.9230645161290323,3795.5000000000000000,1.2448387096774194,1261.1681250000000000
1/1/1997,5.2333333333333333,159.6333333333333333,44590,7.7930769230769231,8.0760655737704918,3847.3666666666666667,1.3691666666666667,1326.0750819672131148
4/1/1997,5.0000000000000000,160.0000000000000000,45203,7.9269230769230769,8.1890625000000000,3890.7333333333333333,1.5071875000000000,1331.6457812500000000
7/1/1997,4.8666666666666667,160.8000000000000000,45616,7.4700000000000000,7.7587500000000000,3951.4666666666666667,1.0557812500000000,1594.9971875000000000
10/1/1997,4.6666666666666667,161.6666666666666667,45862,7.2053846153846154,7.4401612903225806,4013.3333333333333333,0.67661290322580645161,1618.5120312500000000
1/1/1998,4.6333333333333333,162.0000000000000000,46204,7.0500000000000000,7.2593442622950820,4086.4666666666666667,0.40229508196721311475,1691.3965573770491803
4/1/1998,4.4000000000000000,162.5333333333333333,46504,7.0976923076923077,7.2514285714285714,4162.9000000000000000,0.47761904761904761905,1827.5004761904761905
7/1/1998,4.5333333333333333,163.3666666666666667,46943,6.8723076923076923,7.1271875000000000,4233.4000000000000000,0.24703125000000000000,1798.8503125000000000
10/1/1998,4.4333333333333333,164.1333333333333333,47555,6.7642857142857143,7.2456451612903226,4343.3666666666666667,0.29903225806451612903,1857.5378125000000000
1/1/1999,4.3000000000000000,164.7333333333333333,47880,6.8775000000000000,7.4121311475409836,4420.4666666666666667,0.47524590163934426230,2370.1180327868852459
