DATE,NGDPRSAXDCCAQ,DEXCAUS,CPALTT01CAM659N,MAM2A2CAM189S,IRLTLT01CAM156N
1964-04-01,112971.796875,.,2.5000000000000000,.,5.2133333333333333
1964-07-01,114177.5,.,1.6435660000000000,.,5.2233333333333333
1964-10-01,114750.296875,.,1.6397790000000000,.,5.1133333333333333
1965-01-01,118400.5,.,1.8404909999999999,.,5.0233333333333333
1965-04-01,119484.5,.,2.2357720000000001,.,5.0933333333333333
1965-07-01,121152.0,.,2.4242420000000000,.,5.2800000000000000
1965-10-01,124121.296875,.,2.8221976666666667,.,5.4000000000000000
1966-01-01,126536.5,.,3.6144576666666668,.,5.5266666666666667
1966-04-01,129268.0,.,3.9778433333333333,.,5.6133333333333333
1966-07-01,129206.296875,.,3.9447733333333333,.,5.7966666666666667
1966-10-01,130807.5,.,3.7267320000000000,.,5.8033333333333333
1967-01-01,130512.796875,.,3.1019740000000000,.,5.5633333333333333
1967-04-01,133231.796875,.,3.2501366666666669,.,5.6933333333333333
1967-07-01,133651.796875,.,3.9848486666666669,.,5.9400000000000000
1967-10-01,134234.0,.,3.9697826666666667,.,6.3966666666666667
1968-01-01,135378.296875,.,4.5113100000000000,25730666666.66666667,6.6866666666666667
1968-04-01,139017.796875,.,3.5196213333333333,26562333333.33333333,6.7200000000000000
1968-07-01,140954.0,.,3.8321426666666669,27729333333.33333333,6.5200000000000000
1968-10-01,142905.796875,.,4.3636653333333334,28670333333.33333333,6.9733333333333333
1969-01-01,144862.296875,.,3.7770030000000001,29426666666.66666667,7.2100000000000000
1969-04-01,145458.296875,.,5.3667606666666670,30098666666.66666667,7.3866666666666667
1969-07-01,147072.0,.,4.7451963333333335,30630333333.33333333,7.5900000000000000
1969-10-01,149150.296875,.,4.3567250000000000,31501000000.00000000,8.0466666666666667
1970-01-01,150072.0,.,5.0266260000000007,31757333333.33333333,8.2000000000000000
1970-04-01,150084.5,.,3.3961809999999999,32518333333.33333333,8.0400000000000000
1970-07-01,151637.796875,.,3.0209969999999999,33321000000.00000000,7.9600000000000000
1970-10-01,151868.0,.,2.0067169666666667,34183666666.66666667,7.6633333333333333
1971-01-01,151086.796875,1.00848360655737704918,1.32013233333333333333,35190000000.00000000,6.7666666666666667
1971-04-01,155498.296875,1.01270625000000000000,2.1346466666666667,36593000000.00000000,7.0900000000000000
1971-07-01,159795.5,1.0157343750000000,3.0950103333333333,37725333333.33333333,7.2500000000000000
